tau_center,0.0500,0.0700,0.0900,0.1100,0.1300,0.1500,0.1700,0.1900,0.2100,0.2300,0.2500,0.2700,0.2900
0.0500,1.327408e+00,7.962808e-01,5.670753e-01,4.028441e-01,2.745275e-01,2.585640e-01,1.931165e-01,1.116763e-01,1.070226e-01,1.058155e-01,8.476545e-02,4.480473e-02,4.507902e-02
0.0700,7.962808e-01,4.788281e-01,3.406874e-01,2.417480e-01,1.646552e-01,1.551357e-01,1.158686e-01,6.697121e-02,6.420642e-02,6.350768e-02,5.088022e-02,2.688089e-02,2.706261e-02
0.0900,5.670753e-01,3.406874e-01,2.427861e-01,1.723830e-01,1.173584e-01,1.106383e-01,8.261380e-02,4.772634e-02,4.579526e-02,4.529016e-02,3.627811e-02,1.914920e-02,1.932574e-02
0.1100,4.028441e-01,2.417480e-01,1.723830e-01,1.227305e-01,8.349148e-02,7.874854e-02,5.878604e-02,3.394864e-02,3.260000e-02,3.223260e-02,2.581355e-02,1.361539e-02,1.377231e-02
0.1300,2.745275e-01,1.646552e-01,1.173584e-01,8.349148e-02,5.708757e-02,5.361611e-02,4.007111e-02,2.320820e-02,2.218755e-02,2.194493e-02,1.759258e-02,9.328106e-03,9.326451e-03
0.1500,2.585640e-01,1.551357e-01,1.106383e-01,7.874854e-02,5.361611e-02,5.063547e-02,3.775853e-02,2.180572e-02,2.093801e-02,2.070087e-02,1.657854e-02,8.745563e-03,8.847328e-03
0.1700,1.931165e-01,1.158686e-01,8.261380e-02,5.878604e-02,4.007111e-02,3.775853e-02,2.825298e-02,1.630856e-02,1.563242e-02,1.545681e-02,1.238360e-02,6.545962e-03,6.592759e-03
0.1900,1.116763e-01,6.697121e-02,4.772634e-02,3.394864e-02,2.320820e-02,2.180572e-02,1.630856e-02,9.489930e-03,9.030815e-03,8.930528e-03,7.160899e-03,3.803796e-03,3.790452e-03
0.2100,1.070226e-01,6.420642e-02,4.579526e-02,3.260000e-02,2.218755e-02,2.093801e-02,1.563242e-02,9.030815e-03,8.704015e-03,8.577725e-03,6.868333e-03,3.622536e-03,3.668182e-03
0.2300,1.058155e-01,6.350768e-02,4.529016e-02,3.223260e-02,2.194493e-02,2.070087e-02,1.545681e-02,8.930528e-03,8.577725e-03,8.503813e-03,6.793841e-03,3.585571e-03,3.624682e-03
0.2500,8.476545e-02,5.088022e-02,3.627811e-02,2.581355e-02,1.759258e-02,1.657854e-02,1.238360e-02,7.160899e-03,6.868333e-03,6.793841e-03,5.459956e-03,2.878955e-03,2.899067e-03
0.2700,4.480473e-02,2.688089e-02,1.914920e-02,1.361539e-02,9.328106e-03,8.745563e-03,6.545962e-03,3.803796e-03,3.622536e-03,3.585571e-03,2.878955e-03,1.546805e-03,1.518317e-03
0.2900,4.507902e-02,2.706261e-02,1.932574e-02,1.377231e-02,9.326451e-03,8.847328e-03,6.592759e-03,3.790452e-03,3.668182e-03,3.624682e-03,2.899067e-03,1.518317e-03,1.575628e-03
